,home,away,home_points,away_points
342,Miami Heat,Cleveland Cavaliers,114,107
343,New York Knicks,Atlanta Hawks,111,106
344,Toronto Raptors,Chicago Bulls,99,77
345,Portland Trail Blazers,Philadelphia 76ers,139,105
346,Dallas Mavericks,Milwaukee Bucks,106,93
347,San Antonio Spurs,Utah Jazz,100,84
348,Sacramento Kings,Houston Rockets,106,91
349,Minnesota Timberwolves,Memphis Grizzlies,101,93
350,Portland Trail Blazers,Detroit Pistons,111,109
351,Oklahoma City Thunder,Orlando Magic,101,98
352,Denver Nuggets,New Orleans Pelicans,102,93
353,Phoenix Suns,Golden State Warriors,106,102
354,Detroit Pistons,Indiana Pacers,101,96
355,Atlanta Hawks,Los Angeles Lakers,114,100
356,Boston Celtics,Minnesota Timberwolves,101,97
357,Brooklyn Nets,Philadelphia 76ers,130,94
358,Miami Heat,Utah Jazz,117,94
359,Washington Wizards,New York Knicks,102,101
360,Orlando Magic,Chicago Bulls,83,82
361,Los Angeles Clippers,San Antonio Spurs,115,92
362,Charlotte Bobcats,Sacramento Kings,95,87
363,Portland Trail Blazers,Cleveland Cavaliers,119,116
364,Los Angeles Lakers,Memphis Grizzlies,96,92
365,Oklahoma City Thunder,Denver Nuggets,105,93
366,Golden State Warriors,New Orleans Pelicans,104,93
367,Miami Heat,Indiana Pacers,97,94
368,Utah Jazz,Orlando Magic,86,82
369,Charlotte Bobcats,Toronto Raptors,104,102
370,Atlanta Hawks,Sacramento Kings,124,107
371,Detroit Pistons,Boston Celtics,107,106
372,Washington Wizards,Brooklyn Nets,113,107
373,New York Knicks,Milwaukee Bucks,107,101
374,Minnesota Timberwolves,Portland Trail Blazers,120,109
375,Dallas Mavericks,Memphis Grizzlies,105,91
376,San Antonio Spurs,Phoenix Suns,108,101
377,Houston Rockets,Chicago Bulls,109,94
378,Los Angeles Clippers,New Orleans Pelicans,108,95
379,Oklahoma City Thunder,Chicago Bulls,107,95
380,San Antonio Spurs,Golden State Warriors,104,102
381,Philadelphia 76ers,Brooklyn Nets,121,120
382,Atlanta Hawks,Utah Jazz,118,85
383,Cleveland Cavaliers,Milwaukee Bucks,114,111
384,Charlotte Bobcats,Detroit Pistons,116,106
385,Miami Heat,Sacramento Kings,122,103
386,Indiana Pacers,Houston Rockets,114,81
387,Toronto Raptors,Dallas Mavericks,109,108
388,Phoenix Suns,Denver Nuggets,103,99
389,Los Angeles Lakers,Minnesota Timberwolves,104,91
390,Memphis Grizzlies,New York Knicks,95,87
391,Washington Wizards,Boston Celtics,106,99
392,Utah Jazz,Charlotte Bobcats,88,85
393,Sacramento Kings,Orlando Magic,105,100
394,Houston Rockets,Detroit Pistons,114,97
395,Chicago Bulls,Cleveland Cavaliers,100,84
396,Milwaukee Bucks,Philadelphia 76ers,116,106
397,Oklahoma City Thunder,San Antonio Spurs,113,100
398,Phoenix Suns,Dallas Mavericks,123,108
399,Portland Trail Blazers,New Orleans Pelicans,110,107
400,Golden State Warriors,Los Angeles Lakers,102,83
401,Los Angeles Clippers,Denver Nuggets,112,91
402,Indiana Pacers,Boston Celtics,106,79
403,Toronto Raptors,Oklahoma City Thunder,104,98
404,Los Angeles Clippers,Minnesota Timberwolves,120,116
405,Charlotte Bobcats,Milwaukee Bucks,111,110
406,Detroit Pistons,Cleveland Cavaliers,115,92
407,New York Knicks,Orlando Magic,103,98
408,Indiana Pacers,Brooklyn Nets,103,86
409,Miami Heat,Atlanta Hawks,121,119
410,Dallas Mavericks,Houston Rockets,111,104
411,Memphis Grizzlies,Utah Jazz,104,94
412,San Antonio Spurs,Toronto Raptors,112,99
413,Golden State Warriors,Denver Nuggets,89,81
414,Phoenix Suns,Los Angeles Lakers,117,90
415,New Orleans Pelicans,Sacramento Kings,113,100
416,Chicago Bulls,Brooklyn Nets,95,78
417,Oklahoma City Thunder,New York Knicks,123,94
418,Miami Heat,Los Angeles Lakers,101,95
419,Houston Rockets,San Antonio Spurs,111,98
420,Golden State Warriors,Los Angeles Clippers,105,103
421,Atlanta Hawks,Cleveland Cavaliers,127,125
422,Houston Rockets,Memphis Grizzlies,100,92
423,San Antonio Spurs,Dallas Mavericks,116,107
424,Portland Trail Blazers,Los Angeles Clippers,116,112
425,Oklahoma City Thunder,Charlotte Bobcats,89,85
426,Orlando Magic,Detroit Pistons,109,92
427,Brooklyn Nets,Milwaukee Bucks,104,93
428,Toronto Raptors,New York Knicks,95,83
429,Minnesota Timberwolves,Washington Wizards,120,98
430,New Orleans Pelicans,Denver Nuggets,105,89
431,Utah Jazz,Los Angeles Lakers,105,103
432,Sacramento Kings,Miami Heat,108,103
433,Golden State Warriors,Phoenix Suns,115,86
434,Boston Celtics,Cleveland Cavaliers,103,100
435,Indiana Pacers,Brooklyn Nets,105,91
436,Toronto Raptors,New York Knicks,115,100
437,Washington Wizards,Detroit Pistons,106,82
438,Atlanta Hawks,Charlotte Bobcats,118,116
439,Dallas Mavericks,Chicago Bulls,105,83
440,Houston Rockets,New Orleans Pelicans,107,98
